键名,对应按键
ESCAPE,Esc
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
0,0
MINUS,-
EQUALS,=
BACK,退格
TAB,TAB
Q,Q
W,W
E,E
R,R
T,T
Y,Y
U,U
I,I
O,O
P,P
LBRACKET,[
RBRACKET,]
RETURN,回车
A,A
S,S
D,D
F,F
G,G
H,H
J,J
K,K
L,L
SEMICOLON,;
APOSTROPHE,'
GRAVE,`
LSHIFT,左Shift
BACKSLASH,\
Z,Z
X,X
C,C
V,V
B,B
N,N
M,M
COMMA,","
PERIOD,.
SLASH,/
RSHIFT,右Shift
LCONTROL,左Ctrl
LMENU,左Alt
SPACE,空格
RCONTROL,右Ctrl
RMENU,右Alt
CAPITAL,大小写锁定键
F1,F1
F2,F2
F3,F3
F4,F4
F5,F5
F6,F6
F7,F7
F8,F8
F9,F9
F10,F10
F11,F11
F12,F12
F13,F13
F14,F14
F15,F15
NUMLOCK,Num Lock
SCROLL,Scroll Lock
NUMPAD7,数字键盘7
NUMPAD8,数字键盘8
NUMPAD9,数字键盘9
SUBTRACT,数字键盘-
NUMPAD4,数字键盘4
NUMPAD5,数字键盘5
NUMPAD6,数字键盘6
ADD,数字键盘+
NUMPAD1,数字键盘1
NUMPAD2,数字键盘2
NUMPAD3,数字键盘3
NUMPAD0,数字键盘0
DECIMAL,数字键盘.
MULTIPLY,数字键盘*
DIVIDE,数字键盘/
NUMPADEQUALS,数字键盘=
NUMPADENTER,数字键盘回车
INSERT,Insert
DELETE,Delete
HOME,Home
END,End
PRIOR,Page Up
NEXT,Page Down
UP,上箭头
LEFT,左箭头
RIGHT,右箭头
DOWN,下箭头
LWIN,左徽标
RWIN,右徽标
APPS,菜单