名称,类型,必须,默认值,描述
addMode,字符串,否,'Normal',动画添加方式：<ul><li>'Merge'-覆盖当前动画</li><li>'Skip'-跳过当前动画</li><li>'Normal'-直接添加</li></ul>
time,数字,否,0,动画持续时间，以秒为单位的浮点数。
replay,字符串,否,'Normal',回放速度类型：<ul><li>'SlowIn'/'FastOut'</li><li>'SlowOut'/'FastIn'</li><li>'SlowInOut'</li><li>'FastInOut'</li><li>'Normal'</li></ul>
canSkip,布尔值,否,true,是否可以跳过。
backgroundColor,数字,否,原值,目标背景颜色，用四通道十六进制数表示。
backgroundImage,字符串,否,原值,目标背景图片的完整路径，包括后缀。
backgroundX,数字,否,原值,目标背景图片相对本组件左上角的水平位置。
backgroundY,数字,否,原值,目标背景图片相对本组件左上角的垂直位置。
backgroundXDelta,数字,否,0,目标背景图片相对本组件左上角的水平位置变动。
backgroundYDelta,数字,否,0,目标背景图片相对本组件左上角的垂直位置变动。
width,数字,否,原值,组件的目标宽度，以像素为单位。
height,数字,否,原值,组件的目标高度，以像素为单位。
layer,数字,否,原值,目标层深，为 0-255 间的数字，数字较大的层在数字较小的层前面。
rotation,数字,否,原值,组件绕旋转中心逆时针旋转的目标弧度。
rotationDelta,数字,否,0,组件绕旋转中心逆时针旋转的目标弧度变动。
rotationCenterX,数字,否,原值,组件目标旋转中心相对父组件左上角的水平位置，以像素为单位。
rotationCenterXDelta,数字,否,0,组件目标旋转中心相对父组件左上角的水平位置变动，以像素为单位。
rotationCenterY,数字,否,原值,组件目标旋转中心相对父组件左上角的垂直位置，以像素为单位。
rotationCenterYDelta,数字,否,0,组件目标旋转中心相对父组件左上角的垂直位置变动，以像素为单位。
opacity,数字,否,原值,目标透明度，可以是 0 - 1 之间的数。0 为全透。
x,数字,否,原值,组件相对父组件左上角的目标水平位置，以像素为单位。
y,数字,否,原值,组件相对父组件左上角的目标垂直位置，以像素为单位。
xDelta,数字,否,0,组件相对父组件左上角的目标水平位置变动，以像素为单位。
yDelta,数字,否,0,组件相对父组件左上角的目标垂直位置变动，以像素为单位。