键名,对应按键,key值
ESCAPE,Esc,1
1,1,2
2,2,3
3,3,4
4,4,5
5,5,6
6,6,7
7,7,8
8,8,9
9,9,10
0,0,11
MINUS,-,12
EQUALS,=,13
BACK,退格,14
TAB,TAB,15
Q,Q,16
W,W,17
E,E,18
R,R,19
T,T,20
Y,Y,21
U,U,22
I,I,23
O,O,24
P,P,25
LBRACKET,[,26
RBRACKET,],27
RETURN,回车,28
LCONTROL,左Ctrl,29
A,A,30
S,S,31
D,D,32
F,F,33
G,G,34
H,H,35
J,J,36
K,K,37
L,L,38
SEMICOLON,;,39
APOSTROPHE,',40
GRAVE,`,41
LSHIFT,左Shift,42
BACKSLASH,\,43
Z,Z,44
X,X,45
C,C,46
V,V,47
B,B,48
N,N,49
M,M,50
COMMA,",",51
PERIOD,.,52
SLASH,/,53
RSHIFT,右Shift,54
MULTIPLY, ,55
LMENU,左Alt,56
SPACE,空格,57
CAPITAL, ,58
F1,F1,59
F2,F2,60
F3,F3,61
F4,F4,62
F5,F5,63
F6,F6,64
F7,F7,65
F8,F8,66
F9,F9,67
F10,F10,68
NUMLOCK,Num Lock,69
SCROLL,Scroll Lock,70
NUMPAD7,数字键盘7,71
NUMPAD8,数字键盘8,72
NUMPAD9,数字键盘9,73
SUBTRACT,数字键盘-,74
NUMPAD4,数字键盘4,75
NUMPAD5,数字键盘5,76
NUMPAD6,数字键盘6,77
ADD,数字键盘+,78
NUMPAD1,数字键盘1,79
NUMPAD2,数字键盘2,80
NUMPAD3,数字键盘3,81
NUMPAD0,数字键盘0,82
DECIMAL,数字键盘.,83
OEM_102, ,84
MULTIPLY,数字键盘*,85
DIVIDE,数字键盘/,86
F11,F11,87
F12,F12,88
NUMPADEQUALS,数字键盘=,141
NUMPADENTER,数字键盘回车,156
RCONTROL,右ctrl,157
RMENU,右alt,184
HOME,Home,199
END,End,207
PRIOR,Page Up,201
NEXT,Page Down,209
INSERT,Insert,210
DELETE,Delete,211
UP,上箭头,200
LEFT,左箭头,203
RIGHT,右箭头,205
DOWN,下箭头,208
LWIN,左徽标,219
RWIN,右徽标,220
APPS,菜单,221